Image,Center_X,Center_Y,Width,Height,saharAngle,x_position,y_position,angle
0,42,26,84,53,348.05582281155364,-2.4175,3.22281,0.0
1,37,26,74,53,345.96375653207355,-2.4175,3.22281,10.0
2,32,26,64,53,325.5610106911964,-2.4175,3.22281,20.0
3,34,27,69,54,329.93141717813756,-2.4175,3.22281,30.0
4,36,27,73,54,330.57254359681025,-2.4175,3.22281,40.0
5,38,27,76,54,331.7826441452707,-2.4175,3.22281,50.0
6,39,27,78,54,333.9704078084865,-2.4175,3.22281,60.0
7,39,27,79,54,335.0560947365754,-2.4175,3.22281,70.0
8,39,27,79,54,336.16125981682825,-2.4175,3.22281,80.0
9,38,26,77,53,334.5366549381284,-2.4175,3.22281,90.0
10,37,26,75,52,336.29735404903374,-2.4175,3.22281,100.0
11,35,26,71,52,335.22485943116806,-2.4175,3.22281,110.0
12,33,25,67,51,333.434948822922,-2.4175,3.22281,120.0
13,34,25,68,51,330.10109816138544,-2.4175,3.22281,130.0
14,36,25,72,50,331.7826441452707,-2.4175,3.22281,140.0
15,38,25,76,51,333.9704078084865,-2.4175,3.22281,150.0
16,39,26,78,52,335.55604521958344,-2.4175,3.22281,160.0
17,39,27,79,54,335.55604521958344,-2.4175,3.22281,170.0
18,39,28,79,56,337.1094483437517,-2.4175,3.22281,180.0
19,39,29,78,58,338.8752808539275,-2.4175,3.22281,190.0
20,37,29,75,58,335.13630342824814,-2.4175,3.22281,200.0
21,36,28,72,57,334.02560603756865,-2.4175,3.22281,210.0
22,34,28,68,56,332.8188889145228,-2.4175,3.22281,220.0
23,33,27,66,55,323.3929251873925,-2.4175,3.22281,230.0
24,39,27,78,54,334.91640599380906,-2.4175,3.22281,240.0
25,44,26,88,52,339.67686317033707,-2.4175,3.22281,250.0
26,48,26,96,52,342.1496816977832,-2.4175,3.22281,260.0
27,51,26,103,52,344.29136217098426,-2.4175,3.22281,270.0
28,54,26,108,53,346.56897112931836,-2.4175,3.22281,280.0
29,55,27,111,54,347.5604379811534,-2.4175,3.22281,290.0
30,57,27,108,54,345.96375653207355,-2.4175,3.22281,300.0
31,58,27,106,54,346.6075022462489,-2.4175,3.22281,310.0
32,54,27,109,54,348.02386755579664,-2.4175,3.22281,320.0
33,52,26,105,53,347.8450583027778,-2.4175,3.22281,330.0
34,50,26,100,53,349.2157021324374,-2.4175,3.22281,340.0
35,46,26,92,53,348.11134196037204,-2.4175,3.22281,350.0
36,59,26,95,52,346.7014296695057,-2.3175,3.22281,0.0
