Image,Center_X,Center_Y,Width,Height,x_position,y_position
0,19,3,39,7,-3.0317435264587402,4.834876537322998
1,19,2,39,5,-3.0317435264587402,4.884876251220703
2,23,4,46,8,-2.981743574142456,4.784876346588135
3,24,3,48,7,-2.981743574142456,4.834876537322998
4,23,3,47,6,-2.981743574142456,4.884876251220703
5,24,6,48,12,-2.9317433834075928,4.684876441955566
6,26,5,53,10,-2.9317433834075928,4.73487663269043
7,28,4,56,9,-2.9317433834075928,4.784876346588135
8,28,3,57,7,-2.9317433834075928,4.834876537322998
9,23,7,47,15,-2.8817434310913086,4.584876537322998
10,26,6,53,13,-2.8817434310913086,4.634876251220703
11,29,6,58,12,-2.8817434310913086,4.684876441955566
12,31,5,62,10,-2.8817434310913086,4.73487663269043
13,32,4,65,8,-2.8817434310913086,4.784876346588135
14,33,3,66,7,-2.8817434310913086,4.834876537322998
15,23,9,47,18,-2.8317434787750244,4.48487663269043
16,26,8,52,17,-2.8317434787750244,4.534876346588135
17,29,7,58,15,-2.8317434787750244,4.584876537322998
18,31,7,63,14,-2.8317434787750244,4.634876251220703
19,34,6,68,12,-2.8317434787750244,4.684876441955566
20,36,5,72,10,-2.8317434787750244,4.73487663269043
21,37,4,75,8,-2.8317434787750244,4.784876346588135
22,38,3,73,6,-2.8317434787750244,4.834876537322998
23,26,10,52,20,-2.7817435264587402,4.434876441955566
24,28,9,57,19,-2.7817435264587402,4.48487663269043
25,31,8,63,17,-2.7817435264587402,4.534876346588135
26,34,7,69,15,-2.7817435264587402,4.584876537322998
27,37,6,74,13,-2.7817435264587402,4.634876251220703
28,39,5,79,11,-2.7817435264587402,4.684876441955566
29,41,4,82,9,-2.7817435264587402,4.73487663269043
30,45,4,78,8,-2.7817435264587402,4.784876346588135
31,48,3,71,6,-2.7817435264587402,4.834876537322998
32,25,12,51,24,-2.731743574142456,4.334876537322998
33,28,11,57,22,-2.731743574142456,4.384876251220703
34,31,10,63,21,-2.731743574142456,4.434876441955566
35,34,9,68,19,-2.731743574142456,4.48487663269043
36,37,8,74,17,-2.731743574142456,4.534876346588135
37,39,7,79,15,-2.731743574142456,4.584876537322998
38,42,6,84,13,-2.731743574142456,4.634876251220703
39,46,5,85,11,-2.731743574142456,4.684876441955566
40,51,4,82,9,-2.731743574142456,4.73487663269043
41,54,3,77,7,-2.731743574142456,4.784876346588135
42,57,3,69,6,-2.731743574142456,4.834876537322998
43,25,16,50,24,-2.6817433834075928,4.23487663269043
44,28,14,56,24,-2.6817433834075928,4.284876346588135
45,31,12,62,24,-2.6817433834075928,4.334876537322998
46,34,11,68,22,-2.6817433834075928,4.384876251220703
47,36,10,73,20,-2.6817433834075928,4.434876441955566
48,39,9,79,18,-2.6817433834075928,4.48487663269043
49,42,8,84,16,-2.6817433834075928,4.534876346588135
50,46,7,88,14,-2.6817433834075928,4.584876537322998
51,52,6,86,12,-2.6817433834075928,4.634876251220703
52,57,5,84,11,-2.6817433834075928,4.684876441955566
53,61,4,81,9,-2.6817433834075928,4.73487663269043
54,65,3,76,7,-2.6817433834075928,4.784876346588135
55,28,17,56,25,-2.6317434310913086,4.184876441955566
56,31,15,62,25,-2.6317434310913086,4.23487663269043
57,33,13,67,25,-2.6317434310913086,4.284876346588135
58,36,12,73,24,-2.6317434310913086,4.334876537322998
59,39,11,79,22,-2.6317434310913086,4.384876251220703
60,42,10,84,20,-2.6317434310913086,4.434876441955566
61,45,9,89,18,-2.6317434310913086,4.48487663269043
62,51,8,88,16,-2.6317434310913086,4.534876346588135
63,56,7,87,14,-2.6317434310913086,4.584876537322998
64,62,6,86,12,-2.6317434310913086,4.634876251220703
65,67,5,83,10,-2.6317434310913086,4.684876441955566
66,71,4,80,8,-2.6317434310913086,4.73487663269043
67,75,3,74,7,-2.6317434310913086,4.784876346588135
68,27,21,55,25,-2.5817434787750244,4.084876537322998
69,30,19,61,25,-2.5817434787750244,4.134876251220703
70,33,17,67,25,-2.5817434787750244,4.184876441955566
71,36,15,73,25,-2.5817434787750244,4.23487663269043
